movieId,title,genres,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
2,GoldenEye,Action|Adventure|Thriller,1995
3,Four Rooms,Comedy,1995
4,Get Shorty,Comedy|Crime|Thriller,1995
5,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
6,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
7,Twelve Monkeys,,1995
8,Babe,Children|Drama,1995
9,Dead Man Walking,Crime|Drama,1995
10,Richard III,Drama|War,1995
11,Seven (Se7en),,1995
12,The Usual Suspects,Crime|Mystery|Thriller,1995
13,Mighty Aphrodite,Comedy|Drama|Romance,1995
14,"Postino, Il",,1994
15,Mr. Holland's Opus,Drama,1995
16,French Twist (Gazon maudit),Comedy|Romance,1995
17,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
18,The White Balloon,,1995
19,Antonia's Line,,1995
20,Angels and Insects,Drama|Romance,1995
21,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
22,Braveheart,Action|Drama|War,1995
23,Taxi Driver,Crime|Drama|Thriller,1976
24,Rumble in the Bronx,,1995
25,The Birdcage,Comedy,1996
26,The Brothers McMullen,Comedy,1995
27,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995
28,Apollo 13,Adventure|Drama|IMAX,1995
29,Batman Forever,Action|Adventure|Comedy|Crime,1995
30,Belle de jour,,1967
31,Crimson Tide,Drama|Thriller|War,1995
32,Crumb,Documentary,1994
33,Desperado,Action|Romance|Western,1995
34,The Doom Generation,Comedy|Crime|Drama,1995
35,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995
36,Mad Love,Drama|Romance,1995
37,Nadja,Drama,1994
38,The Net,Action|Crime|Thriller,1995
39,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995
40,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
41,Billy Madison,Comedy,1995
42,Clerks,Comedy,1994
43,Disclosure,Drama|Thriller,1994
44,Dolores Claiborne,,1994
45,Eat Drink Man Woman,,1994
46,Exotica,Drama,1994
47,Ed Wood,Comedy|Drama,1994
48,Hoop Dreams,Documentary,1994
49,I.Q.,Comedy|Romance,1994
50,Star Wars,,1977
51,Legends of the Fall,Drama|Romance|War|Western,1994
52,The Madness of King George,Comedy|Drama,1994
53,Natural Born Killers,Action|Crime|Thriller,1994
54,Outbreak,Action|Drama|Sci-Fi|Thriller,1995
55,The Professional,,1994
56,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
57,Priest,Drama,1994
58,Quiz Show,Drama,1994
59,Three Colors: Red,,1994
60,Three Colors: Blue,,1993
61,Three Colors: White,,1994
62,Stargate,Action|Adventure|Sci-Fi,1994
63,The Santa Clause,Comedy|Drama|Fantasy,1994
64,The Shawshank Redemption,Crime|Drama,1994
65,What's Eating Gilbert Grape,Drama,1993
66,While You Were Sleeping,Comedy|Romance,1995
67,Ace Ventura: Pet Detective,Comedy,1994
68,The Crow,Action|Crime|Fantasy|Thriller,1994
69,Forrest Gump,Comedy|Drama|Romance|War,1994
70,Four Weddings and a Funeral,Comedy|Romance,1994
71,The Lion King,Adventure|Animation|Children|Drama|Musical|IMAX,1994
72,The Mask,Action|Comedy|Crime|Fantasy,1994
73,Maverick,Adventure|Comedy|Western,1994
74,Faster Pussycat! Kill! Kill!,Action|Crime|Drama,1965
75,Brother Minister: The Assassination of Malcolm X,,1994
76,Carlito's Way,Crime|Drama,1993
77,The Firm,Drama|Thriller,1993
78,Free Willy,Adventure|Children|Drama,1993
79,The Fugitive,Thriller,1993
80,Hot Shots! Part Deux,Action|Comedy|War,1993
81,The Hudsucker Proxy,Comedy,1994
82,Jurassic Park,Action|Adventure|Sci-Fi|Thriller,1993
83,Much Ado About Nothing,Comedy|Romance,1993
84,Robert A. Heinlein's The Puppet Masters,,1994
85,The Ref,Comedy,1994
86,The Remains of the Day,Drama|Romance,1993
87,Searching for Bobby Fischer,Drama,1993
88,Sleepless in Seattle,Comedy|Drama|Romance,1993
89,Blade Runner,Action|Sci-Fi|Thriller,1982
90,So I Married an Axe Murderer,Comedy|Romance|Thriller,1993
91,The Nightmare Before Christmas,Animation|Children|Fantasy|Musical,1993
92,True Romance,Crime|Thriller,1993
93,Welcome to the Dollhouse,Comedy|Drama,1995
